DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
3224.5,2.27,34.6,66.95,618.25,Siltstone
3225,2.24,36.34,62.77,647.94,Siltstone
3225.5,2.21,38.21,60.51,682.84,Siltstone
3226,2.18,39.45,61.02,709.93,Siltstone
3226.5,2.17,39.77,63.32,720.63,Siltstone
3227,2.18,39.53,65.66,712.43,Siltstone
3227.5,2.19,39.3,67.19,691.94,Siltstone
3228,2.18,39.43,67.65,670.86,Siltstone
3228.5,2.19,39.33,68.2,659.21,Siltstone
3229,2.2,38.63,69.55,656.84,Siltstone
3229.5,2.22,37.67,71.81,653.37,Siltstone
3230,2.22,37.47,72.97,640.81,Siltstone
3230.5,2.21,37.99,70.58,619.19,Siltstone
3231,2.21,37.69,64.43,593.29,Siltstone
3231.5,2.26,35.13,57.26,565.13,Siltstone
3232,2.36,30.06,52.95,534.9,Siltstone
3232.5,2.49,23.76,53.61,505.88,Siltstone
3233,2.59,18.5,58.69,486.55,Siltstone
3233.5,2.64,15.63,65.33,484.8,Siltstone
3234,2.67,14.49,70.98,495.63,Siltstone
3234.5,2.68,13.94,74.78,501.49,Siltstone
3235,2.68,13.73,76.51,488.78,Siltstone
3235.5,2.68,13.85,73.8,463.4,Siltstone
3236,2.67,14.2,64.11,444.1,Siltstone
3236.5,2.66,14.79,48.75,439.7,Siltstone
3237,2.66,15,33.73,443.82,Siltstone
3237.5,2.66,14.81,24.38,445.34,Basalt
3238,2.67,14.48,20.95,444.9,Basalt
3238.5,2.66,15.09,20.24,448.83,Basalt
3239,2.63,16.19,19.35,459.18,Basalt
3239.5,2.63,16.63,18.14,470,Basalt
3240,2.64,15.81,17.66,476.15,Basalt
3240.5,2.66,14.74,18.14,481.14,Basalt
3241,2.65,15.21,18.85,489.05,Basalt
3241.5,2.59,18.48,18.62,499.6,Basalt
3242,2.48,24.16,17.52,508.05,Basalt
3242.5,2.37,29.63,15.86,513.52,Basalt
3243,2.32,32.34,14.03,517.4,Basalt
3243.5,2.34,31.38,12.24,519.77,Basalt
3244,2.42,27.2,10.93,520.01,Basalt
3244.5,2.54,21.03,10.72,519.81,Basalt
3245,2.67,14.41,11.87,521.31,Basalt
3245.5,2.78,8.79,14.8,523.89,Basalt
3246,2.85,4.91,20.95,521.01,Basalt
3246.5,2.89,3.14,31.51,505.34,Basalt
3247,2.89,3.14,44.64,478.05,Basalt
3247.5,2.87,4.05,54.95,451.33,Basalt
3248,2.84,5.36,56.8,439.56,Sandstone
3248.5,2.82,6.45,50.09,447.1,Sandstone
3249,2.81,7.28,38.99,469.32,Sandstone
3249.5,2.8,7.67,28.86,498.89,Sandstone
3250,2.8,7.74,22.05,528.38,Basalt
3250.5,2.8,7.88,18.25,552.36,Basalt
3251,2.77,9.35,16.02,571.48,Basalt
3251.5,2.69,13.31,14.13,590.65,Basalt
3252,2.57,19.67,12.44,612.63,Basalt
3252.5,2.43,26.38,11.26,634.58,Basalt
3253,2.34,31.38,10.72,651.78,Basalt
3253.5,2.29,33.83,10.58,661.66,Basalt
3254,2.29,33.85,10.4,664.28,Basalt
3254.5,2.32,32.23,10.16,661.03,Basalt
3255,2.36,30.4,10.36,654.77,Basalt
3255.5,2.35,30.48,11.69,644.75,Basalt
3256,2.28,34.43,15.59,624.86,Basalt
3256.5,2.14,41.56,23.67,586.14,Basalt
3257,2,48.61,36.44,528.76,Basalt
3257.5,1.93,52.34,50.71,467.12,Basalt
3258,1.95,51.38,61.17,419.97,Basalt
3258.5,2.06,45.61,64.05,397.29,Siltstone
3259,2.25,36.09,60.03,395.39,Siltstone
3259.5,2.45,25.64,52.71,403.61,Siltstone
3260,2.59,18.31,47.35,408.28,Siltstone
3260.5,2.64,15.84,47.66,398.02,Basalt
3261,2.64,16.05,53.75,371.83,Basalt
3261.5,2.62,16.94,60.71,341.8,Basalt
3262,2.6,17.71,62.01,328.01,Basalt
3262.5,2.59,18.33,54.49,344.51,Basalt
3263,2.57,19.15,40.67,389.92,Basalt
3263.5,2.56,19.92,26.36,449.45,Basalt
3264,2.55,20.19,16.26,503.73,Basalt
3264.5,2.57,19.24,11.01,543.53,Basalt
3265,2.62,17.13,8.75,569.8,Basalt
3265.5,2.67,14.3,7.69,585.31,Basalt
3266,2.73,11.28,7.67,589.33,Basalt
3266.5,2.78,8.67,8.47,580.33,Basalt
3267,2.82,6.85,9.54,564.16,Basalt
3267.5,2.83,6.26,9.76,549.04,Basalt
3268,2.83,6.35,9.06,539.77,Basalt
3268.5,2.82,6.65,7.85,535.88,Basalt
3269,2.81,7.22,6.9,536.64,Basalt
3269.5,2.79,8.14,6.37,543.6,Basalt
3270,2.76,9.6,6.07,559.16,Basalt
3270.5,2.72,11.56,5.93,583.66,Basalt
3271,2.68,13.87,6.02,616.2,Basalt
3271.5,2.65,15.43,6.43,653.14,Basalt
3272,2.66,14.9,6.7,689.48,Basalt
3272.5,2.71,12.01,6.45,719.11,Basalt
