Depth,GR, Temp,Pressure,Rd,Rs,Vp,Vs,INDEX
m,API,C,Mpa,Ohmm,Ohmm,m/s,m/s,Rock types
757.14,19.4172,14.8765,6.61397,252.706,205.388,3720.24,2055.92,Basalt
757.24,21.7791,14.8766,6.61498,140.882,134.144,3972.46,2064.98,Basalt
757.34,22.8546,14.8767,6.61593,103.818,148.653,4111.84,2074.11,Basalt
757.44,22.2953,14.8769,6.61679,140.424,227.087,3780.24,2391.58,Basalt
757.54,20.3925,14.877,6.61778,198.126,292.318,3780.24,2467.11,Basalt
757.64,17.805,14.8773,6.61871,227.178,294.818,4076.09,2441.41,Basalt
757.74,15.2829,14.8776,6.61968,225.571,261.785,4380.84,2320.54,Basalt
757.84,13.4174,14.8778,6.62066,229.316,255.919,4300.46,2320.54,Basalt
757.94,12.3291,14.878,6.62163,269.009,310.282,4111.84,1961.3,Basalt
758.04,11.7933,14.878,6.62257,341.679,412.253,4340.28,2011.8,Basalt
758.14,11.6882,14.8779,6.62355,423.483,529.014,4340.28,2055.92,Basalt
758.24,11.8915,14.8777,6.62455,494.449,626.992,4222.97,2020.47,Basalt
758.34,12.1812,14.8774,6.62556,543.698,680.545,3210.62,2029.22,Basalt
758.44,12.3214,14.8772,6.62655,565.105,687.345,3255.21,2003.21,Basalt
758.54,12.1517,14.877,6.62748,566.988,675.961,3145.97,1900.69,Basalt
758.64,11.7102,14.8768,6.62849,576.947,684.986,3043.83,1900.69,Basalt
758.74,11.2644,14.8766,6.62943,615.617,727.529,3145.97,1900.69,Basalt
758.84,11.051,14.8764,6.63035,673.605,786.031,3104.3,1900.69,Basalt
758.94,11.1654,14.8761,6.63131,725.771,836.195,3750,1912.33,Basalt
759.04,11.5419,14.8759,6.63232,755.019,860.523,2911.49,1933.05,Basalt
759.14,12.0479,14.8757,6.63322,756.298,849.721,3210.62,1977.85,Basalt
