Depth,GR,TEMP1,TEMP2,P,Rmud,Rd,Rs,Th,U,K,Vp,Vs,Vw,INDEX
m,API,C,C,MPa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,m/s,Rock types
1264.9,23.7659,98.8406,98.838,11.3583,1.65427,3.74227,3.91282,2.95009,1.89541,0.4904,3003.06,2065.81,1200.52,Sedimentary rocks
1265,21.9832,98.8491,98.8513,11.3593,1.65414,3.74681,3.98638,3.1122,1.79534,0.42,2997.82,2055.1,1198.85,Sedimentary rocks
1265.1,20.5145,98.8579,98.8513,11.3602,1.6541,3.77045,4.26227,3.36662,1.56692,0.39541,2997.82,2058.38,1196.9,Sedimentary rocks
1265.2,19.9198,98.866,98.8646,11.3611,1.65364,3.78553,4.68724,3.73141,1.24697,0.4135,3004.81,2056.74,1196.9,Sedimentary rocks
1265.3,20.3391,98.8731,98.878,11.362,1.65385,3.79092,5.04401,4.10171,0.92097,0.46308,3013.59,2055.1,1199.13,Sedimentary rocks
1265.4,21.5002,98.8797,98.878,11.363,1.65372,3.86595,5.18777,4.23758,0.70134,0.53585,3022.42,2059.21,1201.08,Sedimentary rocks
1265.5,23.0114,98.8862,98.8913,11.3639,1.65339,4.06472,5.17816,3.97885,0.65992,0.6254,3024.19,2069.95,1198.85,Sedimentary rocks
1265.6,24.455,98.8927,98.9046,11.3648,1.65318,4.26834,5.119,3.35742,0.78329,0.7307,3015.35,2064.98,1197.74,Sedimentary rocks
1265.7,25.4708,98.8994,98.9046,11.3657,1.65327,4.29053,4.98202,2.53529,1.03073,0.83666,2999.56,2062.5,1196.62,Sedimentary rocks
1265.8,25.917,98.9069,98.918,11.3667,1.65294,4.12353,4.71077,1.77749,1.31015,0.91992,3038.21,2064.15,1196.9,Sedimentary rocks
1265.9,25.8355,98.9153,98.918,11.3676,1.65311,3.93838,4.41686,1.27632,1.5386,0.95462,3077.86,2060.85,1199.13,Sedimentary rocks
1266,25.3861,98.9243,98.9313,11.3686,1.65302,3.8422,4.31612,1.10643,1.66466,0.9304,3120.71,2088.4,1205.86,Sedimentary rocks
1266.1,24.747,98.9332,98.9313,11.3695,1.65277,3.77651,4.48455,1.23708,1.68457,0.85683,3178.42,2096.89,1214.95,Sedimentary rocks
1266.2,24.208,98.9421,98.9446,11.3704,1.65244,3.69488,4.7659,1.54195,1.62669,0.76987,3258.77,2122.79,1227.68,Sedimentary rocks
1266.3,23.9618,98.9509,98.9446,11.3714,1.65265,3.71448,4.95196,1.87154,1.52377,0.71862,3365.1,2140.41,1238.89,Sedimentary rocks
1266.4,24.0619,98.9599,98.9579,11.3723,1.65273,3.951,4.98454,2.17085,1.39224,0.73085,3426.02,2176.55,1250.61,Sedimentary rocks
1266.5,24.3748,98.9689,98.9712,11.3732,1.6524,4.28959,4.96832,2.47794,1.22835,0.80281,3489.19,2222.52,1262.55,Sedimentary rocks
1266.6,24.7938,98.9776,98.9712,11.3742,1.65219,4.47729,4.9945,2.83529,1.0343,0.90306,3549.24,2247.71,1272.21,Sedimentary rocks
1266.7,25.1978,98.9857,98.9846,11.3751,1.65186,4.42288,5.02766,3.21157,0.85322,0.99062,3624.07,2298.82,1280.1,Sedimentary rocks
1266.8,25.5098,98.9927,98.9978,11.3761,1.6517,4.23503,4.98253,3.50254,0.77831,1.0273,3742.44,2356.6,1291.32,Sedimentary rocks
1266.9,25.6518,98.9992,98.9978,11.3769,1.65174,4.04044,4.86181,3.55375,0.94124,0.97938,3781.23,2419.64,1300.77,Sedimentary rocks
